0	1	2	3	4	5	6	7	8	9
('32m5suoC94ytD8Ed', 0.4575564645778777)	('QkMsyKMDsyDDCXX2', 0.451811649036533)	('JrjFRJUJyXxxgEyg', 0.43761735128739826)	('3G6YdquxUGPnpubQ', 0.4362229211376334)	('rTnl6IWC8abB1CS5', 0.4288565417150424)	('Tt2zZfL8oZDkkRJm', 0.4166687717268745)	('NDroPROgWm3jBxjH', 0.4154690988639502)	('H9d8vL3SJKvo8bcX', 0.4150898824686671)	('Dr5vijFUZDaMyGsg', 0.40856078194956874)	('R8UVAYKr0NGsjuKV', 0.4074446301245448)
('j38kWGeww0fjqBrC', 0.49345651846979366)	('Q0FuvjirjmMi2Xy4', 0.4855417514954707)	('AEQOPkhJd2PVAOcY', 0.48415097513072447)	('NWDsqhKiTgeAi6QB', 0.4836826086285865)	('2CJ1Jent15MZxXMP', 0.4806492954586279)	('U32XkamWnaMZKfGo', 0.4762882244687175)	('OP7MHZ2uuSgbBIBI', 0.46621832044121353)	('2btvaaxMyGuMNTxy', 0.46525498117458014)	('HQKk4LHWfVRhYni0', 0.4541501899625777)	('mH2suhduIEa58xdJ', 0.45009023340838056)
('qVwKFf5dxh95bEAA', 0.5976265392785751)	('ILZwDeBWWOKmB5RL', 0.5952263794932233)	('nhmILgqxIeNkq01v', 0.5750635151747594)	('hxfmRI5dwYDxDIVk', 0.5719242354730387)	('zKPxu12v5BGKC5QL', 0.5675583024434625)	('Rjop8rDOyRz1qUiI', 0.5550004195700111)	('cRI3zxuDf33LGRwn', 0.554354309625752)	('X8defiYa8Kz7DAoL', 0.5502099408807393)	('vKbfimgfMQtFkCFg', 0.5491954769391976)	('oyTlx1RNADpNzRCI', 0.5443360660972321)
('2H91WLAd7ZZJvAiw', 0.6706747646263267)	('eOyMnpLaNgaDBVgl', 0.6498618813795136)	('SapKhbn1GGlJKlWI', 0.6196953871497103)	('QlzNEq6PotxwzssI', 0.6118480314368587)	('w1DNGoZLFFnLQO7L', 0.6117370936567335)	('kagU44z72oRKoDRf', 0.6106829418065137)	('7WzGPQNTJo6KhBVP', 0.6084610281685074)	('BvavHfrEqUNNphJD', 0.6063761912850256)	('xsk4Eo8jSHj0SRvu', 0.59989055077352)	('wuUoux0bgSjXaxrX', 0.5998090264516751)
('khymRW0B0p6aUuSm', 0.659964003819959)	('0Vbfs25K0D6Yuq5T', 0.63274813389649)	('UJPwK6tlMrb4VPBG', 0.614506628915037)	('LEsoWCESdo0w4Jpv', 0.6127636483632375)	('nP4fQq4Ktl5UQY6e', 0.607844487733986)	('Fu8UwyrZ1iw2EmPZ', 0.6066650673086049)	('Q9ji3TxEcglfaJXB', 0.6042986083778807)	('1424LaVTdRfu6RZc', 0.6018964149382907)	('3zunVGLsZK0jdx8C', 0.5998475103575807)	('Yew4sg3Mh8KG3dXe', 0.5969155334822566)
('pAzgyML8giA3E70J', 0.6578117985129768)	('mlRU0g4WnCiiok60', 0.5855914622519071)	('SrKQlJq9cpMxmUy0', 0.5839044766740595)	('ILZwDeBWWOKmB5RL', 0.579985969638962)	('oyTlx1RNADpNzRCI', 0.561663383002554)	('GTZ9KwLu7xO79fkt', 0.5600172152235621)	('JvOSYYoGMARdZYdX', 0.5565445109279681)	('hxfmRI5dwYDxDIVk', 0.5503644095811712)	('WFKgFwlYxgr5Bjg6', 0.5459724106847459)	('DyixMd9p8yG8rGn9', 0.5448252933167501)
('K90gzEQvo7ezB92j', 0.694569760576528)	('YzAbpq7RBs7sSjwK', 0.6772295972000439)	('ooopTtHdA0AqT9jY', 0.6642132029051324)	('k7Nh93qJae1HAoRo', 0.661966288381972)	('5gMjEcghipaC9j64', 0.6584022234832025)	('uJAWMf4CJE4a35i4', 0.6571234169648976)	('iJIdrFqDnJtRNJoD', 0.6554938493944789)	('vcfCYD1fYIL6wIf1', 0.6540358592116781)	('yAnDRle4In4XlRfR', 0.653349858141375)	('9rhl2G04SHdMZLq8', 0.6453570551870598)
('NmxwBNHkpiWdYydl', 0.26060444752835676)	('2UjZzIZjJjFm9Efw', 0.22979485772661845)	('duZJP3I5NQEoL95B', 0.2282925475000741)	('hNPII41mRaGZumVx', 0.21091581638652998)	('jHMlg5bSOwFyoYGP', 0.21089301508824673)	('DYKfD1gxKXIa9wto', 0.21056752066577294)	('maPYFFu0SEtg21bg', 0.20701432201407868)	('QqO36KRoawTTRbn3', 0.20399008893881895)	('k359CixIFRVz3QHM', 0.20196943635413214)	('Am5uwox47SZYrjyx', 0.20179863848239715)
('bUFaJKTTLcvigHZP', 0.6957462430049803)	('xk0Smig2qyV1CWXH', 0.670732643681222)	('PLOgMxOYSI8GzaXA', 0.6571588143305944)	('C9TfpaaJWG6ZbRmg', 0.6415128883133212)	('fV9BmTl22n3hunyh', 0.6406391562106936)	('vgWYtda8B3FcxUsA', 0.6403353226634019)	('2HJm8jMhcW462w0r', 0.6203193106062773)	('nY793S0Nmnw3WVah', 0.6184344621159816)	('60OSb9vno2104Lbw', 0.615388665795368)	('2sPhTCourKP3kNBG', 0.612669867439221)
('kObtPNCEmcSyfTt6', 0.7713633168760738)	('VTiQufVGka4dXkST', 0.7576579613121533)	('5KAnWG2JzhbMHJ8j', 0.746562725650803)	('xbPROldsip73RSkA', 0.7402904945642901)	('3zunVGLsZK0jdx8C', 0.7366878937182744)	('FFtQyoUyiRXOMzSY', 0.732595003717356)	('xcWYLAbgy0udCFmC', 0.7316735523928399)	('sY43Vcsj6bSeYs3G', 0.7311887723319249)	('7ekrmFU2el0NnRkp', 0.7290587258850032)	('Tx6KG4X6fEheS8o4', 0.7283590735422478)
